review_text,rating,review_date,bank,source,app_package
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,com.boa.boaMobileBanking
liking this application good 👍,5,2025-05-07,BOA,Google Play,com.boa.boaMobileBanking
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,Google Play,com.boa.boaMobileBanking
it's really good 👍,5,2025-04-23,BOA,Google Play,com.boa.boaMobileBanking
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,com.boa.boaMobileBanking
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,com.boa.boaMobileBanking
Best,2,2025-04-19,BOA,Google Play,com.boa.boaMobileBanking
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,com.boa.boaMobileBanking
yideg,1,2025-04-17,BOA,Google Play,com.boa.boaMobileBanking
great boa,5,2025-04-10,BOA,Google Play,com.boa.boaMobileBanking
boa of mobile backing,5,2025-04-09,BOA,Google Play,com.boa.boaMobileBanking
faster bank of Abissinya,5,2025-04-08,BOA,Google Play,com.boa.boaMobileBanking
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,com.boa.boaMobileBanking
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,com.boa.boaMobileBanking
like,5,2025-04-06,BOA,Google Play,com.boa.boaMobileBanking
it's not work correctly... you must have update it,1,2025-04-06,BOA,Google Play,com.boa.boaMobileBanking
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,Google Play,com.boa.boaMobileBanking
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,Google Play,com.boa.boaMobileBanking
good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,com.boa.boaMobileBanking
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-03-31,BOA,Google Play,com.boa.boaMobileBanking
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,Google Play,com.boa.boaMobileBanking
good application,5,2025-03-30,BOA,Google Play,com.boa.boaMobileBanking
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,Google Play,com.boa.boaMobileBanking
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,Google Play,com.boa.boaMobileBanking
always problematic hardly works,1,2025-03-26,BOA,Google Play,com.boa.boaMobileBanking
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,Google Play,com.boa.boaMobileBanking
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,BOA,Google Play,com.boa.boaMobileBanking
great BoA,5,2025-03-22,BOA,Google Play,com.boa.boaMobileBanking
best,5,2025-03-21,BOA,Google Play,com.boa.boaMobileBanking
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,Google Play,com.boa.boaMobileBanking
there is no speed,1,2025-03-19,BOA,Google Play,com.boa.boaMobileBanking
"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,com.boa.boaMobileBanking
wonderful,5,2025-03-19,BOA,Google Play,com.boa.boaMobileBanking
all worck,5,2025-03-19,BOA,Google Play,com.boa.boaMobileBanking
Loved it,5,2025-03-14,BOA,Google Play,com.boa.boaMobileBanking
Wow,1,2025-03-14,BOA,Google Play,com.boa.boaMobileBanking
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,com.boa.boaMobileBanking
Improved to be the best,5,2025-03-11,BOA,Google Play,com.boa.boaMobileBanking
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,BOA,Google Play,com.boa.boaMobileBanking
BoA Greqt Ethiopian bank.,5,2025-03-11,BOA,Google Play,com.boa.boaMobileBanking
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,BOA,Google Play,com.boa.boaMobileBanking
Almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,Google Play,com.boa.boaMobileBanking
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,Google Play,com.boa.boaMobileBanking
Wonderfull app,5,2025-03-08,BOA,Google Play,com.boa.boaMobileBanking
i can't use this app why?,5,2025-03-07,BOA,Google Play,com.boa.boaMobileBanking
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,com.boa.boaMobileBanking
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,Google Play,com.boa.boaMobileBanking
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,BOA,Google Play,com.boa.boaMobileBanking
Good app,5,2025-03-03,BOA,Google Play,com.boa.boaMobileBanking
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,Google Play,com.boa.boaMobileBanking
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,com.boa.boaMobileBanking
Very poor proformance,1,2025-03-01,BOA,Google Play,com.boa.boaMobileBanking
It's not opening. Really frustrating,1,2025-03-01,BOA,Google Play,com.boa.boaMobileBanking
Verry Amazing App from all IB,5,2025-03-01,BOA,Google Play,com.boa.boaMobileBanking
Not working on this days,1,2025-02-26,BOA,Google Play,com.boa.boaMobileBanking
Thank you BoA,5,2025-02-23,BOA,Google Play,com.boa.boaMobileBanking
best banking app in the wworld,5,2025-02-22,BOA,Google Play,com.boa.boaMobileBanking
Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,com.boa.boaMobileBanking
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,Google Play,com.boa.boaMobileBanking
This is help full i like ittttt,5,2025-02-14,BOA,Google Play,com.boa.boaMobileBanking
The is not functional at all?,2,2025-02-12,BOA,Google Play,com.boa.boaMobileBanking
Best bank,5,2025-02-08,BOA,Google Play,com.boa.boaMobileBanking
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,Google Play,com.boa.boaMobileBanking
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,Google Play,com.boa.boaMobileBanking
I have been using this app for two years.It is amazing.,5,2025-01-31,BOA,Google Play,com.boa.boaMobileBanking
Good 👍,5,2025-01-31,BOA,Google Play,com.boa.boaMobileBanking
Sad experience,1,2025-01-30,BOA,Google Play,com.boa.boaMobileBanking
Always do update and that is annoying,3,2025-01-27,BOA,Google Play,com.boa.boaMobileBanking
"Best app, somehow waiting a few minutes",5,2025-01-23,BOA,Google Play,com.boa.boaMobileBanking
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,Google Play,com.boa.boaMobileBanking
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,com.boa.boaMobileBanking
Beter,5,2025-01-21,BOA,Google Play,com.boa.boaMobileBanking
Boa,4,2025-01-18,BOA,Google Play,com.boa.boaMobileBanking
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,Google Play,com.boa.boaMobileBanking
Aadan Axmed Barkhadle,5,2025-01-17,BOA,Google Play,com.boa.boaMobileBanking
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,Google Play,com.boa.boaMobileBanking
Horrible customer service and app crashes Horrible!!,1,2025-01-15,BOA,Google Play,com.boa.boaMobileBanking
I love it,5,2025-01-14,BOA,Google Play,com.boa.boaMobileBanking
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,BOA,Google Play,com.boa.boaMobileBanking
Good🙏,5,2025-01-11,BOA,Google Play,com.boa.boaMobileBanking
Like to much,5,2025-01-11,BOA,Google Play,com.boa.boaMobileBanking
